epoch,label,accuracy,precision,recall,f1
1,playAction,0.0,0.0,0.0,0.0
1,passTippedAtLine,1.0,0.0,0.0,0.0
1,unblockedPressure,0.5,0.0,0.0,0.0
1,qbSpike,1.0,0.0,0.0,0.0
1,qbKneel,1.0,0.0,0.0,0.0
1,qbSneak,1.0,0.0,0.0,0.0
1,isDropback,1.0,1.0,1.0,1.0
1,pff_runPassOption,1.0,0.0,0.0,0.0
1,offenseFormation_EMPTY,0.0,0.0,0.0,0.0
1,offenseFormation_I_FORM,1.0,0.0,0.0,0.0
1,offenseFormation_JUMBO,1.0,0.0,0.0,0.0
1,offenseFormation_PISTOL,1.0,0.0,0.0,0.0
1,offenseFormation_SHOTGUN,1.0,1.0,1.0,1.0
1,offenseFormation_SINGLEBACK,1.0,0.0,0.0,0.0
1,offenseFormation_WILDCAT,1.0,0.0,0.0,0.0
1,receiverAlignment_1x0,1.0,0.0,0.0,0.0
1,receiverAlignment_1x1,1.0,0.0,0.0,0.0
1,receiverAlignment_2x0,1.0,0.0,0.0,0.0
1,receiverAlignment_2x1,0.5,0.0,0.0,0.0
1,receiverAlignment_2x2,0.5,0.0,0.0,0.0
1,receiverAlignment_3x0,1.0,0.0,0.0,0.0
1,receiverAlignment_3x1,1.0,1.0,1.0,1.0
1,receiverAlignment_3x2,0.0,0.0,0.0,0.0
1,receiverAlignment_3x3,1.0,0.0,0.0,0.0
1,receiverAlignment_4x1,1.0,0.0,0.0,0.0
1,dropbackType_DESIGNED_ROLLOUT_LEFT,1.0,0.0,0.0,0.0
1,dropbackType_DESIGNED_ROLLOUT_RIGHT,1.0,0.0,0.0,0.0
1,dropbackType_DESIGNED_RUN,1.0,0.0,0.0,0.0
1,dropbackType_SCRAMBLE,1.0,0.0,0.0,0.0
1,dropbackType_SCRAMBLE_ROLLOUT_LEFT,1.0,0.0,0.0,0.0
1,dropbackType_SCRAMBLE_ROLLOUT_RIGHT,1.0,0.0,0.0,0.0
1,dropbackType_TRADITIONAL,1.0,1.0,1.0,1.0
1,passLocationType_INSIDE_BOX,1.0,1.0,1.0,1.0
1,passLocationType_OUTSIDE_LEFT,0.0,0.0,0.0,0.0
1,passLocationType_OUTSIDE_RIGHT,1.0,0.0,0.0,0.0
1,passLocationType_UNKNOWN,1.0,0.0,0.0,0.0
1,pff_runConceptPrimary_COUNTER,1.0,0.0,0.0,0.0
