epoch,label,precision,recall,f1
1,playAction,0.4,0.2608695652173913,0.3157894736842105
1,passTippedAtLine,0.0,0.0,0.0
1,unblockedPressure,0.0,0.0,0.0
1,qbSpike,0.0,0.0,0.0
1,qbKneel,0.0,0.0,0.0
1,qbSneak,0.0,0.0,0.0
1,isDropback,1.0,1.0,1.0
1,pff_runPassOption,0.0,0.0,0.0
1,offenseFormation_EMPTY,0.0,0.0,0.0
1,offenseFormation_I_FORM,0.0,0.0,0.0
1,offenseFormation_JUMBO,0.0,0.0,0.0
1,offenseFormation_PISTOL,0.0,0.0,0.0
1,offenseFormation_SHOTGUN,0.670846394984326,1.0,0.8030018761726079
1,offenseFormation_SINGLEBACK,0.0,0.0,0.0
1,offenseFormation_WILDCAT,0.0,0.0,0.0
1,receiverAlignment_1x0,0.0,0.0,0.0
1,receiverAlignment_1x1,0.0,0.0,0.0
1,receiverAlignment_2x0,0.0,0.0,0.0
1,receiverAlignment_2x1,0.0,0.0,0.0
1,receiverAlignment_2x2,0.43478260869565216,0.5303030303030303,0.4778156996587031
1,receiverAlignment_3x0,0.0,0.0,0.0
1,receiverAlignment_3x1,0.0,0.0,0.0
1,receiverAlignment_3x2,0.0,0.0,0.0
1,receiverAlignment_3x3,0.0,0.0,0.0
1,receiverAlignment_4x1,0.0,0.0,0.0
1,dropbackType_DESIGNED_ROLLOUT_LEFT,0.0,0.0,0.0
1,dropbackType_DESIGNED_ROLLOUT_RIGHT,0.0,0.0,0.0
1,dropbackType_DESIGNED_RUN,0.0,0.0,0.0
1,dropbackType_SCRAMBLE,0.0,0.0,0.0
1,dropbackType_SCRAMBLE_ROLLOUT_LEFT,0.0,0.0,0.0
1,dropbackType_SCRAMBLE_ROLLOUT_RIGHT,0.0,0.0,0.0
1,dropbackType_TRADITIONAL,0.8683385579937304,1.0,0.9295302013422819
1,passLocationType_INSIDE_BOX,0.8589341692789969,1.0,0.924114671163575
1,passLocationType_OUTSIDE_LEFT,0.0,0.0,0.0
1,passLocationType_OUTSIDE_RIGHT,0.0,0.0,0.0
1,passLocationType_UNKNOWN,0.0,0.0,0.0
1,pff_runConceptPrimary_COUNTER,0.0,0.0,0.0
1,pff_runConceptPrimary_DRAW,0.0,0.0,0.0
1,pff_runConceptPrimary_FB RUN,0.0,0.0,0.0
1,pff_runConceptPrimary_INSIDE ZONE,0.0,0.0,0.0
1,pff_runConceptPrimary_MAN,0.0,0.0,0.0
1,pff_runConceptPrimary_OUTSIDE ZONE,0.0,0.0,0.0
1,pff_runConceptPrimary_POWER,0.0,0.0,0.0
1,pff_runConceptPrimary_PULL LEAD,0.0,0.0,0.0
1,pff_runConceptPrimary_TRAP,0.0,0.0,0.0
1,pff_runConceptPrimary_TRICK,0.0,0.0,0.0
1,pff_runConceptPrimary_UNDEFINED,0.0,0.0,0.0
1,pff_runConceptPrimary_Unknown,0.670846394984326,1.0,0.8030018761726079
1,pff_runConceptSecondary_QB RUNS,0.0,0.0,0.0
1,pff_runConceptSecondary_READ OPTION,0.0,0.0,0.0
1,pff_runConceptSecondary_Unknown,1.0,1.0,1.0
1,pff_passCoverage_2-Man,0.0,0.0,0.0
1,pff_passCoverage_Bracket,0.0,0.0,0.0
1,pff_passCoverage_Cover 6-Left,0.0,0.0,0.0
1,pff_passCoverage_Cover-0,0.0,0.0,0.0
1,pff_passCoverage_Cover-1,0.4166666666666667,0.07692307692307693,0.12987012987012986
1,pff_passCoverage_Cover-1 Double,0.0,0.0,0.0
1,pff_passCoverage_Cover-2,0.0,0.0,0.0
1,pff_passCoverage_Cover-3,0.0,0.0,0.0
1,pff_passCoverage_Cover-3 Cloud Left,0.0,0.0,0.0
1,pff_passCoverage_Cover-3 Cloud Right,0.0,0.0,0.0
1,pff_passCoverage_Cover-3 Double Cloud,0.0,0.0,0.0
1,pff_passCoverage_Cover-3 Seam,0.0,0.0,0.0
1,pff_passCoverage_Cover-6 Right,0.0,0.0,0.0
1,pff_passCoverage_Goal Line,0.0,0.0,0.0
1,pff_passCoverage_Miscellaneous,0.0,0.0,0.0
1,pff_passCoverage_Prevent,0.0,0.0,0.0
1,pff_passCoverage_Quarters,0.0,0.0,0.0
1,pff_passCoverage_Red Zone,0.0,0.0,0.0
1,pff_manZone_Man,0.275,0.13095238095238096,0.1774193548387097
1,pff_manZone_Other,0.0,0.0,0.0
1,pff_manZone_Zone,0.7286245353159851,0.9032258064516129,0.8065843621399177
1,routeRanQB0_CORNER,0.0,0.0,0.0
1,routeRanQB0_CROSS,0.0,0.0,0.0
1,routeRanQB0_FLAT,0.0,0.0,0.0
1,routeRanQB0_GO,0.0,0.0,0.0
1,routeRanQB0_HITCH,0.0,0.0,0.0
1,routeRanQB0_IN,0.0,0.0,0.0
1,routeRanQB0_NA,0.9937304075235109,1.0,0.9968553459119497
1,routeRanQB0_OUT,0.0,0.0,0.0
1,routeRanQB0_POST,0.0,0.0,0.0
1,routeRanQB0_SCREEN,0.0,0.0,0.0
1,routeRanQB0_SLANT,0.0,0.0,0.0
1,routeRanQB0_WHEEL,0.0,0.0,0.0
1,routeRanWR0_ANGLE,0.0,0.0,0.0
1,routeRanWR0_CORNER,0.0,0.0,0.0
1,routeRanWR0_CROSS,0.0,0.0,0.0
1,routeRanWR0_FLAT,0.0,0.0,0.0
1,routeRanWR0_GO,0.0,0.0,0.0
1,routeRanWR0_HITCH,0.0,0.0,0.0
1,routeRanWR0_IN,0.0,0.0,0.0
1,routeRanWR0_NA,0.0,0.0,0.0
1,routeRanWR0_OUT,0.0,0.0,0.0
1,routeRanWR0_POST,0.0,0.0,0.0
1,routeRanWR0_SCREEN,0.0,0.0,0.0
1,routeRanWR0_SLANT,0.0,0.0,0.0
1,routeRanWR0_WHEEL,0.0,0.0,0.0
1,routeRanWR1_ANGLE,0.0,0.0,0.0
1,routeRanWR1_CORNER,0.0,0.0,0.0
1,routeRanWR1_CROSS,0.0,0.0,0.0
1,routeRanWR1_FLAT,0.0,0.0,0.0
1,routeRanWR1_GO,0.0,0.0,0.0
1,routeRanWR1_HITCH,0.0,0.0,0.0
1,routeRanWR1_IN,0.0,0.0,0.0
1,routeRanWR1_NA,0.0,0.0,0.0
1,routeRanWR1_OUT,0.0,0.0,0.0
1,routeRanWR1_POST,0.0,0.0,0.0
